"","filename","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","type"
"1","Study1_G1_T3_SelfPaced.csv",4.80434241104957,87.7684524276414,27851,29,4.0176654339162,1.85109749432686,0.568153052779388,94.2042513138285,5.63246259907143,"Resp"
"2","Study1_G1_T3_SelfPaced.csv",3.45103231205426,95.7953705015028,7785,115,7.81978163134232,2.72443768469887,0.670970551149845,97.7796660844388,10.8994913173128,"HR"
"3","Study1_G2_T3_SelfPaced.csv",4.30101220616959,87.6536476088439,48331,30,3.72406943783493,1.74326600110558,0.528929698883733,94.7389695139768,4.69555877383539,"Resp"
"4","Study1_G2_T3_SelfPaced.csv",2.19719863186075,94.979355288031,12268,188,6.22522008477339,2.46886867830715,0.593637433133302,96.4717441050642,7.25301542776999,"HR"
"5","Study1_G3_T1_SelfPaced.csv",6.08038781163435,92.6242129912256,43919,45,4.62924929984745,2.11043402570709,0.593594210526601,96.0920629424789,6.75756896165059,"Resp"
"6","Study1_G3_T1_SelfPaced.csv",5.65065288652512,96.2053631046179,19323,448,7.45645086166744,2.67536788295045,0.577243651083983,98.0135413049865,10.1233793103448,"HR"
"7","Study1_G3_T2_TurnTaking.csv",3.91444492767954,89.4758314657605,46122,26,3.47122848098521,1.65575587218818,0.520996798851232,95.3959906332609,4.28381769813783,"Resp"
"8","Study1_G3_T2_TurnTaking.csv",7.08544277986281,95.167644865268,32699,143,7.18034190648032,2.6866663883405,0.603156020322039,97.0775641233503,9.21941642928632,"HR"
"9","Study1_G3_T3_Synchronous.csv",5.46085946908578,94.7596965023238,37140,78,4.92969843834141,2.19480359355176,0.573259118904271,97.9126771351972,6.74971457114314,"Resp"
"10","Study1_G3_T3_Synchronous.csv",3.76904152798062,92.0082807247684,14501,47,6.1911592303979,2.48277100449205,0.660100746602852,93.9944248585718,8.37436084733382,"HR"
"11","Study1_G4_T1_Synchronous.csv",4.4719029283612,94.0824953706095,29237,40,4.36180182645278,2.02731008114853,0.608399056827978,96.545847565789,5.2507723789271,"Resp"
"12","Study1_G4_T1_Synchronous.csv",0.528832541459276,68.217665615142,2110,10,3.68957345971564,1.74117215544997,0.792441598100483,92.7620049071153,4.71117044948821,"HR"
"13","Study1_G4_T2_SelfPaced.csv",4.73024270010365,95.1651573051353,20056,48,4.53215995213402,2.0789048540167,0.584726113466878,97.7930168036434,5.52083456469058,"Resp"
"14","Study1_G4_T2_SelfPaced.csv",3.15997336769174,91.7253943142049,7942,29,4.81818181818182,2.03769740555525,0.649880773245634,96.6081787238123,6.96079447322971,"HR"
"15","Study1_G4_T3_TurnTaking.csv",4.34843607228748,94.9334353354011,27840,23,4.10079022988506,1.94490102955682,0.629205537906394,97.5902011491863,5.03176985079746,"Resp"
"16","Study1_G4_T3_TurnTaking.csv",1.17009779929618,87.2747349823322,4401,20,4.48966144058169,2.0644000699234,0.701118306247877,94.8409893992933,5.80638182801514,"HR"
"17","Study2_G10_T1_Conversation.csv",3.94633609544071,91.8620753323486,55423,52,3.59074752359129,1.72402263761904,0.523091010784505,96.6054283604136,4.75887943971986,"Resp"
"18","Study2_G10_T1_Conversation.csv",4.10620929014202,96.986094471289,18567,309,9.19960144342112,2.84489399116283,0.575698067133853,97.9229716608845,11.8871657016818,"HR"
"19","Study2_G10_T2_TurnTaking.csv",4.6937973630008,95.4547042181369,57013,49,4.31412134074685,2.02514705209652,0.59542179557566,97.0959316653278,5.29715652855116,"Resp"
"20","Study2_G10_T2_TurnTaking.csv",0.696146294707838,89.4936030544578,5352,36,4.9927130044843,2.22205498037812,0.674200535620565,92.1595552280796,6.00152671755725,"HR"
"21","Study2_G10_T3_Synchronous.csv",5.47586922223989,93.5836277386346,69115,32,4.07028864935253,1.92391501793004,0.597697805881907,95.4305635948717,4.69255557554839,"Resp"
"22","Study2_G10_T3_Synchronous.csv",1.65435583385657,94.4373978240036,10399,196,6.44379267237234,2.45526568480285,0.579878111742583,96.0947629516884,7.46088193456615,"HR"
"23","Study2_G5_T1_Synchronous.csv",6.46943001273852,95.3737726982196,68561,67,4.94040343635595,2.20658403913575,0.550636529866617,98.0487063176301,7.26349054045598,"Resp"
"24","Study2_G5_T1_Synchronous.csv",5.57504579695088,86.4283444018803,53237,27,3.88196179348949,1.81415222003038,0.578585733251875,89.4247980059887,4.25149617258177,"HR"
"25","Study2_G5_T2_TurnTaking.csv",4.14323392989242,92.5455816468747,57335,38,3.67130025289963,1.75857672269722,0.498694535179054,96.6181429683138,4.50091141833077,"Resp"
"26","Study2_G5_T2_TurnTaking.csv",9.37657159257746,90.5620827272388,75868,51,4.80056150155533,2.15484994495151,0.616286367774289,93.1418696306242,5.57109924595089,"HR"
"27","Study2_G5_T3_Conversation.csv",4.96441575772877,94.1268635631437,62769,51,4.08677850531313,1.92862281008152,0.515996063602671,97.3122126452598,4.93889789001248,"Resp"
"28","Study2_G5_T3_Conversation.csv",0.716290657981586,73.7744938480568,6809,16,3.32868262593626,1.58203879580768,0.584198474298509,80.4635114901374,3.75912408759124,"HR"
"29","Study2_G6_T1_TurnTaking.csv",4.826410577434,92.9436541575298,64274,47,3.83136260385226,1.8298960670687,0.518919167310007,96.5926032164195,4.95623293374905,"Resp"
"30","Study2_G6_T1_TurnTaking.csv",0.520023007474165,74.1974533715925,5148,11,3.21464646464646,1.51405788939321,0.657546986645557,84.2180774748924,3.59090040145288,"HR"
"31","Study2_G6_T2_Conversation.csv",6.56989180911202,92.1683339618038,81872,42,4.06021594684385,1.92445354729513,0.541284148277998,94.600791872768,4.86130939659471,"Resp"
"32","Study2_G6_T2_Conversation.csv",0.402024601769953,70.8983355564577,3731,11,3.27660144733315,1.55022604333703,0.673254616323983,82.6074349011193,3.7016632016632,"HR"
"33","Study2_G6_T3_Synchronous.csv",3.83235795221152,92.587328824097,45895,54,4.24420960888986,1.96448117614039,0.561840963191416,95.3461068622465,5.48470182921828,"Resp"
"34","Study2_G6_T3_Synchronous.csv",6.90849073254371,92.9694777056306,28775,163,9.57344917463076,2.47958480290588,0.552413828757941,99.2710287943626,25.9939908094733,"HR"
"35","Study2_G7_T1_Conversation.csv",5.47723542980617,90.9375717122133,69455,42,3.93682240299474,1.87485741834803,0.515412511490601,97.2372713939358,6.09696792759728,"Resp"
"36","Study2_G7_T1_Conversation.csv",2.08708660047782,91.9277000759641,12577,241,6.54289576210543,2.50454132782963,0.627864463380544,95.2064435408195,8.69022127052106,"HR"
"37","Study2_G7_T2_Synchronous.csv",4.95224740233847,91.753138552422,65232,46,3.82390544518028,1.82791319698213,0.506218430106481,96.2613247210891,6.0903674742256,"Resp"
"38","Study2_G7_T2_Synchronous.csv",4.66423613110716,96.3599282183043,21343,371,9.03195427072108,2.78895934410076,0.541809098904999,97.6061104418373,12.251348977287,"HR"
"39","Study2_G7_T3_TurnTaking.csv",3.9223454905769,94.7362799143612,49671,41,4.10680276217511,1.93997833034689,0.53331474366859,98.8301296192232,9.43405594715609,"Resp"
"40","Study2_G7_T3_TurnTaking.csv",1.14209679972749,96.9112993773604,5780,150,8.21314878892734,2.74816143627035,0.735260661570329,97.9401857711544,10.4227677601564,"HR"
"41","Study2_G8_T1_TurnTaking.csv",5.54080962189022,94.1526312501849,71123,43,4.02661586266046,1.89925843715339,0.529998158171211,97.8656742424491,5.64962991079901,"Resp"
"42","Study2_G8_T1_TurnTaking.csv",9.91788140985363,97.3539077817115,31698,279,13.0647359454855,3.06345972121152,0.550156284177879,97.7349770324085,16.7410405089796,"HR"
"43","Study2_G8_T2_Synchronous.csv",5.03631470791666,84.7751703583675,68504,22,3.42144984234497,1.62706390055443,0.552588765488714,88.7964958983782,3.95287165697908,"Resp"
"44","Study2_G8_T2_Synchronous.csv",13.7625170754954,97.0639357593007,50379,339,11.3727743702733,3.09741144562397,0.614937580341682,97.4315579047232,13.6672766159696,"HR"
"45","Study2_G8_T3_Conversation.csv",5.32289040701874,89.4845452554345,76657,27,3.411051828274,1.6275105947454,0.519060308412374,95.4878032086733,4.6897774640312,"Resp"
"46","Study2_G8_T3_Conversation.csv",7.85951917922911,97.5891283840308,17050,391,19.2944868035191,3.05892935661004,0.52167833634216,97.8258547959347,27.632730015083,"HR"
"47","Study2_G9_T1_Synchronous.csv",6.16587690761286,91.9600573142089,78073,25,3.98692249561308,1.89569419319692,0.6045918323071,98.1109945787849,6.98007440570023,"Resp"
"48","Study2_G9_T1_Synchronous.csv",1.71248071538603,92.7745782788057,10958,193,6.21847052381821,2.48702652670813,0.635739238562054,95.5806069517624,7.7675370657225,"HR"
"49","Study2_G9_T2_Conversation.csv",5.07360306642556,89.631017905164,73550,27,3.39419442556084,1.61616876476101,0.496046923687057,96.1098365305558,4.58715470560011,"Resp"
"50","Study2_G9_T2_Conversation.csv",0.58050272776595,90.1437866495301,4396,46,5.10555050045496,2.25962720180224,0.701992659780456,93.1038637641578,6.04774328202452,"HR"
"51","Study2_G9_T3_TurnTaking.csv",5.053802164765,89.8967689845586,72257,24,3.45165174308371,1.64821267564086,0.525662802140569,96.7077091653571,5.14244642925595,"Resp"
"52","Study2_G9_T3_TurnTaking.csv",0.611721827793206,91.5920265274231,4582,27,5.24465298996072,2.29313929176009,0.70382791455057,93.9207988718222,6.29425287356322,"HR"
